name,city,primary_type,rating,reviews,dropped_at,drop_reason,google_place_id
Health First Advanced Physiotherapy and Rehabilitation Center.,Hyderabad,health,5,7,Stage 2: Classified as Other,"The business name indicates a focus on physiotherapy and rehabilitation, which fits the 'Other' cate",ChIJ39jyzb6RyzsRih4Rs3zFHhQ
Health Heal,Bengaluru,health,4.3,143,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJ61nNh-A9rjsR2TwrkzVxVgc
Health Prime Services (India) Pvt. Ltd.,Mumbai,,4.1,153,Stage 2: Classified as Other,"The business focuses on revenue cycle management and medical billing solutions, which does not fit a",ChIJDeIjwzzI5zsR6kyeURqsygc
Health Rehabilitation Center,Ahmedabad,medical_clinic,5,5,Stage 2: Classified as Other,The name suggests rehabilitation but lacks specific details to classify it under the other categorie,ChIJi-3I8cuHXjkRG4Y1994greY
Health Shine,Kolkata,health,5,1,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJgQLzOwCf-DkR4MeDAM-N4L4
Health Solutions,Delhi,health,5,208,Stage 2: Classified as Other,Insufficient information to classify into specific categories.,ChIJQf8exqoDDTkROvYUSnebHsA
Health Vision Physiotherapy and Rehabilitation,Bengaluru,medical_clinic,4.9,218,Stage 2: Classified as Other,The business primarily offers physiotherapy services and does not fit the other specified categories,ChIJNba7LgAVrjsRnPNk83E8kEk
Health Wave Rehab,Hyderabad,health,5,13,Stage 2: Classified as Other,"The name suggests rehabilitation services, but without specific details, it cannot be classified und",ChIJ9QpIcUKXyzsRXuCOSYqKD8U
Health Wealth Happiness Center,Mumbai,health,5,1,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJf26XHIrI5zsRdiiNdFpqxmI
Health at Homes Gachibowli - Blood Test Center,Hyderabad,medical_clinic,3,2,Stage 2: Classified as Other,The business provides lab tests and blood sample collection services at the patient's home.,ChIJBXbmGkWRyzsR4jito9xk8vs
Health care emergency service,Kolkata,service,4.8,39,Stage 2: Classified as Other,The name suggests emergency services but lacks specific information to classify it under the other c,ChIJJz2iOqdxAjoRTeDaz25J9wQ
Health care provider,Kolkata,health,,0,Stage 2: Classified as Other,The business name is too generic and does not provide specific information to classify it into any o,ChIJlbQo98Z1AjoRj7Ea-AiTrdk
Health care services,Hyderabad,,4.5,12,Stage 2: Classified as Other,The business name is too generic and does not provide specific information to classify it accurately,ChIJsRq7xKSRyzsRqvdPLnpaNtw
"HealthAssure - APRC Healthcare Private Limited - Gamma II, Greater Noida - Modern facilities, compassionate care",Noida,medical_clinic,5,1,Stage 2: Classified as Other,The business appears to focus on general healthcare services and a network of doctors rather than sp,ChIJkcs8z_DrDDkRq-CZqrXX8C8
HealthOnUS - Rehab - Physiotherapy Services,Hyderabad,medical_clinic,4.4,7,Stage 2: Classified as Other,"The business primarily offers physiotherapy and rehabilitation services, which do not fit the specif",ChIJ60dIBo6RyzsRgdM0Mzs0vtk
Healthcare Den,Mumbai,health,5,3,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJLQJSZT635zsRTefn4OGNl9w
Healthcare Physiotherapy & Rehabilitation Centre,Ghaziabad,medical_clinic,,0,Stage 2: Classified as Other,"The name indicates a focus on physiotherapy and rehabilitation, which fits the 'Other' category.",ChIJAWSoZ1jzDDkR0t5YITbgFSg
Healthcare Polyclinic,Kolkata,medical_center,,0,Stage 2: Classified as Other,The name suggests a general healthcare service without specific focus on the defined categories.,ChIJEaTz9_p7AjoRR0hqJxNfsEQ
Healthcare Supplies at Home,,health,,0,Stage 2: Classified as Other,The name suggests a focus on supplies rather than care services.,ChIJ__8bz83H5zsRJ4_1VzGIbSo
HealthcareOnTime - Thyrocare centre,Mumbai,health,4.5,396,Stage 2: Classified as Other,The name suggests a focus on healthcare services but does not fit any specific category related to n,ChIJAw4ioJe35zsRqENEWFTbOAI
Healthco,Kolkata,health,5,31,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJFzXlDwN3AjoROPGICXIJe1g
Healthhive Health Care,Pune,health,5,5,Stage 2: Classified as Other,Insufficient information to classify into a specific category.,ChIJN1ZC4UbBwjsRTDgKzxGlTLw
Healthrobe Multispeciality Clinic - Nursing services | Home nursing services | General Physician Doctors,Ghaziabad,medical_clinic,4.9,41,Stage 2: Classified as Other,"The business offers home nursing services and general physician services, which do not fit the speci",ChIJdQyk2q_lDDkRzcFkWtpCMRM
Healthspecifics Prevention & Rehabilitation,Delhi,medical_clinic,,0,Stage 2: Classified as Other,"The name suggests a focus on prevention and rehabilitation, but lacks specific details to classify i",ChIJx2mVJ5njDDkR0PA_AakWmKk
Healthtech Pvt Ltd,Delhi,health,,0,Stage 2: Classified as Other,No specific information available to classify into the defined categories.,ChIJtfGdHgAbDTkRxrL4Zgi1FvY
Healthwatch Telediagnostics Pvt. Ltd.,Bengaluru,health,5,2,Stage 2: Classified as Other,"The business focuses on cardiac monitoring and telediagnostics, which does not fit into any of the s",ChIJU0kNJpcVrjsRwVPrvRGMrM8
Healthwatch Telediagnostics Pvt. Ltd.,Delhi,,4.9,1109,Stage 2: Classified as Other,"The business focuses on cardiac monitoring and telediagnostics, which does not fit into any of the s",ChIJCZvSauwCDTkRNtRdydTbMv4
Healthy Bangla Care,Kolkata,medical_clinic,5,1,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJ3TY6VmJ3AjoRM-kNj3FDxY8
Healthy Future : Advanced Physiotherapy and Neurorehab Centre,Ahmedabad,medical_clinic,4.9,340,Stage 2: Classified as Other,"The business primarily focuses on physiotherapy and neurorehabilitation services, which do not fit t",ChIJ45lO3fyEXjkRQGzWGW25GIQ
Healthy Future: Advance Physiotherapy and Neuro-Rehabilitation Center,Ahmedabad,medical_clinic,4.9,28,Stage 2: Classified as Other,"The business primarily focuses on physiotherapy and neuro-rehabilitation services, which do not fit ",ChIJqelPnZydXjkRsQyc8bT0fh4
Healthy Future: Advanced Physiotherapy & Neuro Rehabilitation Center Bopal,Ahmedabad,medical_clinic,5,1,Stage 2: Classified as Other,"The business primarily focuses on physiotherapy and neuro rehabilitation services, which do not fit ",ChIJaw6k4XSbXjkREq87pqH4rSA
Healthy Jeena Sikho,Noida,health,5,534,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJ5dksmtfvDDkRzzTMzSJSj54
Healthy Jeena Sikho,,medical_clinic,5,281,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJJY5uYVXvDzkRikU-qovr8bM
Healthy Minds,Ahmedabad,medical_clinic,4.2,115,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJR0cwWFSEXjkR1IA5r_P6g2g
Healthy Nudge (By Dr. Radhika Goyal),Delhi,medical_clinic,4.9,182,Stage 2: Classified as Other,"The business provides psychological services and therapy, which does not fit into the specified heal",ChIJK8Js_HTYFGIR77-xAG9Mmqg
"HealthyLife Multi Physiotherapy & SportsRehabilitation Clinic/vaishnodevi/Adani Shantigram, Cupping,Dry Niddling,Tapping",Ahmedabad,medical_clinic,5,358,Stage 2: Classified as Other,"The business primarily offers physiotherapy and rehabilitation services, which do not fit the specif",ChIJ-zzP_JKDXjkRR_Fh6iAqv4Y
Healvibe Healthcare,Bengaluru,health,4.8,710,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJeW4eGJwUrjsRnUjdbZB5Oa4
Hearing Centre Adyar - Sound Centre,Chennai,health,4.9,120,Stage 2: Classified as Other,"The business name suggests a focus on hearing services, which does not fit any of the specified cate",ChIJtciKgGZnUjoRUuQ_Ezg_anc
HeartClinic,Mumbai,medical_clinic,4.9,107,Stage 2: Classified as Other,"The business focuses on cardiac treatment and specialist consultations, which do not fit the specifi",ChIJb3N36Ii35zsRpOMaratQ2VE
Heena sharma early intervention therapist,Delhi,health,5,13,Stage 2: Classified as Other,"The business name suggests a focus on therapy, which does not fit the specified categories.",ChIJ1dXliDwBDTkRIxo1zBlB5VI
Helios ortho clinic,Chennai,medical_clinic,5,57,Stage 2: Classified as Other,"The name suggests a focus on orthopedic services, which does not fit the specified categories.",ChIJD84vAq5nUjoRlRJvf8siWDk
Help Care,Kolkata,health,,0,Stage 2: Classified as Other,Insufficient information to classify into specific categories.,ChIJBwVDyK1wAjoRTrlpMfNa2NY
Helping Hand Medical Service,Delhi,health,,0,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJw2qqGWwDDTkR5yOEv-MKW3c
Helping Hands Caretakers Service Providers Mumbai,Mumbai,health,5,10,Stage 2: Classified as Other,The name suggests a service provider but lacks specific information to classify it into the other ca,ChIJU3_t36Ox5zsRYvlFyG754Zk
Helping Mind Counseling Center,Delhi,medical_clinic,5,62,Stage 2: Classified as Other,"The business focuses on counseling and psychotherapy, which does not fit into the specified healthca",ChIJqVUuE9ABDTkRW0qSo3BqO6k
Helwa Decor,Ghaziabad,health,,0,Stage 2: Classified as Other,"The business name suggests a focus on decor, which does not fit any healthcare category.",ChIJgz9xFnPxDDkRiDzrENrJeP4
Hemadri Residency,Hyderabad,health,4,1,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJjX-0XhyRyzsRiRiUiMA-GV8
HexaHealth,Noida,medical_clinic,4.4,21,Stage 2: Classified as Other,"HexaHealth provides assistance throughout the surgical journey, including post-surgery recovery.",ChIJgYLaEH7nDDkReSCzc9AZyWU
HiCare Services Private Limited,Mumbai,service,4.8,210,Stage 2: Classified as Other,"The business primarily offers pest control and cleaning services, which do not fit any healthcare ca",ChIJP9BrlOW35zsR9So67k0Ai9I
Hidden Leaf Village,,health,3,5,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJ8ZdLZ2crXDkRwlMPm6Vn7gU
Hidden Potential Supreet kaur,Delhi,health,4.9,165,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJlY5pgJj24okR0hMOD3apQLY
Highland Cove Retirement Community,,health,4.6,78,Stage 2: Classified as Other,The business is a retirement community focused on independent and assisted living for seniors.,ChIJyR1FE9thUocRAYelMMW6R5A
Himanshu,Ghaziabad,health,5,1,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJZ4OAPwDxDDkRh4HcqERTsrI
Hinjawadi Diagnocare center,Pune,health,5,10,Stage 2: Classified as Other,Insufficient information to classify into any specific healthcare category.,ChIJ2btpxK-7wjsRE9bmKPekRDk
Hireprow Nursing Services,Lucknow,health,5,91,Stage 2: Classified as Other,"The business provides a range of in-home care services including nursing, elderly care, and palliati",ChIJM_7lP49XmTkReFZJ9OulhNc
Holistic Medical Wound Care Expert,Kolkata,health,4.8,136,Stage 2: Classified as Other,"The name suggests a focus on wound care, which does not fit into the specified categories.",ChIJnX98tNN1AjoRcRuzK5ewlbc
"Holistic Therapy Centre (Dr. Jayashree Kalyankar) KEM - Mumbai, SI Therapy (Univ. of Southern California)",Mumbai,service,4.8,156,Stage 2: Classified as Other,"The name suggests a focus on therapy, which typically aligns with physiotherapy or rehabilitation se",ChIJOYyidXix5zsRVcr6QpOefVc
Holistic Touch,Delhi,medical_clinic,4.8,218,Stage 2: Classified as Other,"The business primarily offers physiotherapy services, which do not fit into the specified categories",ChIJK8qi9usCDTkRkuY__oQbie4
Holla Breast Centre,Bengaluru,medical_center,4.9,168,Stage 2: Classified as Other,"The name suggests a focus on breast health, which does not fit any of the specified categories.",ChIJ0WTum-sVrjsRXFUqiDjHEUY
Holy Spirit Caretaker Service Providers,Mumbai,health,4.8,31,Stage 2: Classified as Other,The name suggests a service provider but lacks specific information to classify it into the other ca,ChIJY-7ynimx5zsRuKM5baJNJGE
Home,Lucknow,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJ-WspVAD7mzkRhEk_l-f9vOU
Home,Lucknow,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into a specific category,ChIJ6ViYGQD_mzkR2UDj4DEQGk8
Home,Jaipur,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJ7eXgRQDLbTkRN_IqfwQnOfk
Home,Noida,health,4,2,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into a specific category,ChIJy3bKVADrDDkRx3zeMxfl4-Q
Home,,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into a specific category,ChIJD5Y2GQArXDkRQ8VWULlx09c
Home,Delhi,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJCa_GKQAFDTkRgLZUjDWZtsA
Home,Delhi,health,3,1,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJg_mmZQDjDDkRWcuJgi6cjWg
Home,,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into a specific category,ChIJFV_wVgCD-DkRMqYGj5_POSQ
Home,,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into a specific category,ChIJPy1zUgB5AjoR16sXETv89W4
Home,Delhi,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide specific information to classify it into any of the define,ChIJcbdyRAAHDTkR_1rFC8cEeDw
Home,Mumbai,health,5,1,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJDcLS_mjD5zsRKItvzaKvsuQ
Home,Mumbai,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJv923ZwDD5zsR1aA4aR6XXb8
Home,Bengaluru,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJOdU5fQAVrjsRNuBGQBgAErw
Home,Bengaluru,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJP_FsdABtrjsROxn33PYwZgU
Home,Hyderabad,health,,0,Stage 2: Classified as Other,The name 'Home' does not provide enough information to classify it into a specific category.,ChIJS6vuRQCXyzsRlIU4WX615ec
Home,Kolkata,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into a specific category,ChIJPTpiSlR1AjoRBjXioUu8utc
Home,Delhi,health,,0,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJf3nRPgABDTkRbjyE1_o8nho
Home,,health,5,1,Stage 2: Classified as Other,The business name 'Home' does not provide enough information to classify it into any specific catego,ChIJ4TPNGk2byzsRW51CD3P1B68
Home Blood Collection Health Services,Chennai,health,4.9,28,Stage 2: Classified as Other,"The business focuses on home blood collection services, which does not fit into the specified catego",ChIJhSiFazVfUjoRlOrYxB4XmPk
Home Blood Collection Service 24/7,Chennai,medical_clinic,5,3,Stage 2: Classified as Other,The business provides a specific service (blood collection) that does not fit into any of the define,ChIJnwBICdtnUjoRZYnugaiN1W4
Home Care (Best Exide Battery Dealer),Kolkata,,4.9,113,Stage 2: Classified as Other,"The name suggests a focus on battery sales, not healthcare services.",ChIJYz9GuV2f-DkRy_RBYp6BXQs
Home Care Plus Healthcare,Mumbai,health,5,75,Stage 2: Classified as Other,The business provides nursing and caregiving services directly at the patient's home.,ChIJLx1OIM3H5zsRuG_vwSQd6K8
Home Care Services,Delhi,service,4.7,12,Stage 2: Classified as Other,"The business provides pest management services, which does not fit any of the specified healthcare c",ChIJZzOBYOMDDTkRq2bP8Tpv9SM
Home Decor,Pune,health,5,1,Stage 2: Classified as Other,The business name 'Home Decor' does not indicate any healthcare-related services.,ChIJJ6fcFGK_wjsRTb424PmjwRc
Home Nursing Services in Chennai - Starts@ 800/day Chennai Best Elder Care Services- Patient care services in Chennai,Chennai,health,5,13,Stage 2: Classified as Other,The business provides nursing care and patient care services at the patient's home.,ChIJc7-g8eRhUjoRVqUWQ2MID9M
Home Sandip Kumar Misra,Kolkata,health,5,1,Stage 2: Classified as Other,Insufficient information to classify into specific categories.,ChIJc0J_odF3AjoRtDs3utIiNhs
Home Sure,,health,,0,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJW4yIQ4i55zsRdGJ9YnXz05o
Home Sweet Home,Delhi,health,,0,Stage 2: Classified as Other,The name suggests a home-like environment but lacks specific information to classify it under the ot,ChIJw-RdlDEBDTkRcHUxsW4wpsU
Home Team,Kolkata,health,4.8,118,Stage 2: Classified as Other,"The name 'Home Team' suggests a focus on home services, but without specific information, it cannot ",ChIJazag7hd7AjoRDBypK3D_ips
Home Tution H347,Noida,health,,0,Stage 2: Classified as Other,"The business name suggests educational services, not healthcare.",ChIJze1N0tvrDDkR00FiDt-2VWk
Home cool services,Delhi,health,,0,Stage 2: Classified as Other,The name does not provide clear information about the services offered.,ChIJX8LicAAHDTkRfsU0rHgURfo
Home decorate electric work,Pune,health,5,3,Stage 2: Classified as Other,"The business name suggests it is related to home decoration and electrical work, which does not fit ",ChIJpcXNT6G5wjsRWhM38j1zxx8
HomeConnect (Trust in US),Pune,,5,5,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJwwC23Se5wjsR8H5aI5c8kLc
Homecare Nursing services- Srisai Home Nursing care | Physiotherapy service,Chennai,health,4.6,17,Stage 2: Classified as Other,"The business name suggests a focus on home nursing and physiotherapy services, which do not fit the ",ChIJK_6LY2ddUjoR0EOH4VSJYeQ
Homeland Healthcare,Faridabad,health,4.9,159,Stage 2: Classified as Other,"The business primarily focuses on providing medical equipment for rent and purchase, along with trai",ChIJeaQ-uk3dDDkRFv9hQqsrwx0
Homemade,Pune,health,,0,Stage 2: Classified as Other,Insufficient information to determine a specific healthcare category.,ChIJ5ekaS-a_wjsRkfyLzbgBqFU
Homemedicare24u,Delhi,health,4.8,36,Stage 2: Classified as Other,No specific information available to classify into the defined categories.,ChIJG8j0hkUDDTkR6yjvP4-fXtY
Homital Medcare Pvt Ltd,Delhi,health,4,4,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJEdo9kXgeDTkRfGoddhbnoT0
Homy,,health,,0,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJWfq6BACd-DkRPbg5SIbKWyk
Hope Foundation Rehabilitation Center,Bengaluru,health,3.6,15,Stage 2: Classified as Other,The name suggests rehabilitation but lacks specific details to classify it under the other categorie,ChIJP8SgLGZrrjsRg-fUrda_hVA
Hope HospitalRehab,,health,4,8,Stage 2: Classified as Other,"The name suggests a focus on rehabilitation, but without specific details, it cannot be classified u",ChIJo_rQzcrHwjsRSXsdJwd5jzU
Hope Neuro Rehab & Physiotherapy Centre,Jaipur,medical_clinic,5,76,Stage 2: Classified as Other,"The name suggests a focus on neuro rehabilitation and physiotherapy, which fits the 'Other' category",ChIJt07iiBDJbTkRNZwLfQxdiWU
Hope Prosthetic & Orthotic Rehabilitation Centre,Kochi,medical_clinic,4.8,124,Stage 2: Classified as Other,"The business focuses on prosthetic and orthotic rehabilitation, which does not fit into the specifie",ChIJ5eUSFDENCDsRVwiibjj3KWs
Hope Rehab And Wellness,Delhi,health,4.9,9,Stage 2: Classified as Other,The name suggests rehabilitation and wellness but lacks specific details to classify it under the ot,ChIJ99SpsgvfDDkRfFWhzuw6Ndw
"Hope Rehabilitation Centre – Speech Therapy, Behavioral Therapy & Occupational Therapy, Palarivattom",Kochi,health,5,104,Stage 2: Classified as Other,"The business focuses on speech, behavioral, and occupational therapy, which does not fit the specifi",ChIJGx1LrGwNCDsRSYoOO-818vg
Hope and Heal Physio care & Rehab,Chennai,medical_clinic,4.9,37,Stage 2: Classified as Other,"The name indicates a focus on physiotherapy and rehab, which does not fit the specified categories.",ChIJP6Agm4NlUjoRUPkPTlM8PEw
Hoperay healthcare,Delhi,health,,0,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJ8_WcYuvjDDkRoGKJjy0TWnU
Hosco Private Limited,Kolkata,health,4,34,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJIba28Kh3AjoRH79CwvZb0fw
House,Hyderabad,health,,0,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJnyA5DwCRyzsRG2cKYv5C1vg
House,,health,,0,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJazL0bKttrjsR_9sDKhXXvDg
House,,health,5,1,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJ2xu3ZQCbyzsRgeQ-u1PI8Os
House Keeping Job,Hyderabad,service,3.6,11,Stage 2: Classified as Other,"The business name suggests a focus on housekeeping jobs, which does not fit any of the specified hea",ChIJfQwvZYSZyzsR2jE29BixPnI
House Of Healing - The Wellness Center,Mumbai,health,4.9,160,Stage 2: Classified as Other,Insufficient information to classify into specific categories.,ChIJ4aXXmofJ5zsRzHekDeBc-P0
House Of Wellness Neurotherapy Center,Delhi,medical_center,5,19,Stage 2: Classified as Other,"The name suggests a focus on neurotherapy, but lacks specific information to classify it under the d",ChIJ1ZfaD7DjDDkRzOrBfDEaEmM
House of Movement & Excellence,Delhi,medical_clinic,5,100,Stage 2: Classified as Other,"The business is a physiotherapy and sports injury clinic, which does not fit the specified categorie",ChIJ4VylVyPhDDkROW4BWHZwBuw
House of Vision,Noida,medical_clinic,5,274,Stage 2: Classified as Other,"The business is an eye hospital focused on ophthalmology services, which does not fit into the speci",ChIJJ0Q4hcDrDDkRUCaG75NGG20
Howrah Blessings,,health,4.8,12,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJq6qqzvt4AjoR9OQoQKrdqTY
Hrushikesh Garden,,health,3.7,32,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJUU9PvMO-5zsRHe7i1oizXfY
Humpty Dumpty Rehabilitation Center,Delhi,service,4.8,50,Stage 2: Classified as Other,The name suggests rehabilitation but lacks specific details to classify it under Post-Hospital Care.,ChIJ93OZKhP9DDkRdtytq5zX4tM
Hybrid Strength & Rehab,Mumbai,medical_clinic,5,89,Stage 2: Classified as Other,"The name suggests a focus on strength and rehabilitation, likely indicating a physiotherapy or sport",ChIJXy8e-JjB5zsR_HyUFQhFa0w
I Care PG & Hostel,Ahmedabad,service,4.9,49,Stage 2: Classified as Other,"The name suggests a hostel or PG accommodation, which does not clearly fit into the specified catego",ChIJuf8ebwCFXjkRRI-lcQaoC1Q
I Care PG and Hostel,Ahmedabad,service,4.9,24,Stage 2: Classified as Other,"The name suggests a hostel or PG accommodation, which does not clearly fit into the specified catego",ChIJI0-X7KqFXjkRxNI6a5vVgEU
I2H SOLUTIONS,Chennai,health,5,1,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJl4x7OYj1UjoRidsrYdv2KOE
ICU,Ghaziabad,health,5,1,Stage 2: Classified as Other,The name 'ICU' does not provide clear information to classify it into any of the specified categorie,ChIJ4QaTEXzwDDkRBI0YtV5T9OE
"ICU Ventilator Specialist--- Dr ASHISH Garg - MD, FNB Critical Care Medicine",Chandigarh,medical_clinic,4.3,42,Stage 2: Classified as Other,"The business name suggests a focus on critical care and ventilator services, which does not fit the ",ChIJjXnUn-vtDzkRQ-8XgirRW60
ICULive,Bengaluru,medical_clinic,5,2,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJ7x_b1KYXrjsRiepbtQ7uRds
IIRISH VALLE,Hyderabad,health,,0,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJu7tHiimXyzsRSfeesFcGLDM
IKAI MANSION,Jaipur,health,5,4,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJ7V_mXwC1bTkRXqOWKix_UJM
IN-Motion REHAB,,medical_clinic,4.9,25,Stage 2: Classified as Other,"The name suggests a focus on rehabilitation, likely related to physiotherapy, which fits the 'Other'",ChIJkdNgVE2V5zsR_BIEYUquEWs
INARA CENTRE FOR REHABILITATION,Kochi,health,5,37,Stage 2: Classified as Other,The business focuses on rehabilitation services but does not specify post-hospital care or neurologi,ChIJ1SmuixUNCDsRR9dSidRSLEY
INDIAN SPINE AND PAIN CARE CENTER ALPHA 2,Noida,medical_clinic,4.8,164,Stage 2: Classified as Other,"The business is a physiotherapy clinic specializing in pain management and rehabilitation, which doe",ChIJszaZH3zqDDkRT2_eLYXJ7qQ
INDIRA MIND HEALING CENTRE,Kolkata,medical_clinic,4.8,644,Stage 2: Classified as Other,Insufficient information to classify into specific categories.,ChIJuYp1cAae-DkRc5PiyzNy7LI
INERTIA PHYSIOTHERAPY HOME-CARE REHABILITATION,Delhi,health,,0,Stage 2: Classified as Other,"The name indicates a focus on physiotherapy and home care rehabilitation, which does not fit the spe",ChIJYTNwMnL7DDkRcXBeyLquHQ8
INFANT TO GERI CARE (ITOG Care),Chennai,health,1,1,Stage 2: Classified as Other,"The name suggests a broad range of care from infants to geriatrics, but lacks specific information t",ChIJN2lt5jd5UAQRPNJUbAOpXKg
INFINITY HEALTH AND REHAB,Ahmedabad,medical_clinic,5,39,Stage 2: Classified as Other,The name suggests rehabilitation but lacks specific details to classify it under the other categorie,ChIJl9XKTsWDXjkRoD7Lypz4Xp0
INFINIZA LIVING in Noida | PG in Noida | Boys PG in Noida | Girls PG in Noida,Noida,service,4.1,101,Stage 2: Classified as Other,"The business name suggests it is a paying guest accommodation, which does not fit any of the specifi",ChIJidpm90vlDDkRJfrIWDPJh_k
INORBVICT HEALTHCARE INDIA PVT LTD,Pune,health,4.7,336,Stage 2: Classified as Other,"The business focuses on healthcare equipment and products, not on direct patient care services.",ChIJt4GtBlK7wjsRtX6ckVaFS64
INTEGRATED HEALTH CARE SERVICES,Kolkata,health,2,2,Stage 2: Classified as Other,Insufficient information to determine a specific category.,ChIJByByXpJ1AjoRtzvh5CYtaGM
IT REFIX,Kochi,service,4.8,517,Stage 2: Classified as Other,"The business specializes in data recovery services, which does not fit any of the specified healthca",ChIJWWy_KM9yCDsRX1IXspyQvaA
ITS Health Care,Faridabad,health,5,48,Stage 2: Classified as Other,Insufficient information to classify into any specific category.,ChIJuVWXit_nDDkRRQMNzzVgb5w
Impulse physiotherapy and Neuro Rehabilitation Clinic,Ahmedabad,medical_clinic,5,5,Stage 2: Classified as Other,"The business focuses on physiotherapy and neuro rehabilitation, which does not fit the specified cat",ChIJFX6eAjydXjkR1rVpcwbBmpo
In Balance Vertigo & NeuroRehab Center by Dr Anchal Jain,Mumbai,medical_clinic,5,45,Stage 2: Classified as Other,"The name suggests a focus on neurorehabilitation, but lacks specific indication of post-hospital car",ChIJ655Bo4vP5zsRZsDJeZfjlnk
In-House Multi-speciality Centre,Noida,medical_center,5,27,Stage 2: Classified as Other,"The business focuses on general and laparoscopic surgery, which does not fit the specified categorie",ChIJ52GX-yLlDDkRJGzr_uSRKgs
Inamsha Physiotherapy and Rehabilitation centre,Kolkata,medical_clinic,5,22,Stage 2: Classified as Other,The business primarily focuses on physiotherapy and rehabilitation services without clear alignment ,ChIJG3am-H55AjoRS7CplW9uN4E
Inception Superspeciality Women’s Healthcare | Dr Varun H Shah,Mumbai,medical_clinic,4.9,271,Stage 2: Classified as Other,"The business focuses on fertility treatments and gynecological care, which does not fit the specifie",ChIJedT1ckWx5zsRoNzaYdMpBJ0
Inclusive Neuro Development - Speech Therapist Clinic/Occupational Therapist Centre in Shahdara East Delhi,Delhi,health,4.8,60,Stage 2: Classified as Other,"The business primarily offers speech and occupational therapy services, which do not fit into the sp",ChIJQzg-2SEGZG8RHYjGU4jKloM
India Heath Care,Kolkata,health,4.5,4,Stage 2: Classified as Other,Insufficient information to classify into specific categories.,ChIJCZfWEMpwAjoRyIZnbBxptVY
India Home Health Care,Mumbai,health,5,1,Stage 2: Classified as Other,"The business name suggests home health care services, but the website content indicates it is being ",ChIJbX399KXI5zsReDs2vOwcNCU
India Home Health Care,,health,3.7,18,Stage 2: Classified as Other,The business is being wound up and does not provide any clear healthcare services.,ChIJ_eKK9KXI5zsROw8HGrZoe5M
India Home Health Care Pvt Ltd,Bengaluru,health,4.1,57,Stage 2: Classified as Other,The business is being wound up and does not provide any clear healthcare services.,ChIJZaJCoqUWrjsR78JrAgdO7bQ
